nrm1_l4_code,nrm1_l3_code,nrm1_l2_code,nrm1_description,nrm1_unit,nrm2_primary_ws,nrm2_primary_ws_name,nrm2_primary_items,nrm2_secondary_ws,confidence,matched_keywords,notes
0.1.1.1,0.1.1,0.1,Toxic or hazardous material removal: details to be stated.,item,6,Ground remediation,,,Low,,
0.1.1.2,0.1.1,0.1,Toxic or hazardous chemical removal: details to be stated.,item,6,Ground remediation,,,Low,,
0.1.2.1,0.1.2,0.1,Contaminated ground material removal: details to be stated.,m2/m3,6,Ground remediation,,,Low,,
0.1.2.2,0.1.2,0.1,Contaminated ground material treatment: details to be stated.,m2,6,Ground remediation,,,Low,,
0.1.3.1,0.1.3,0.1,Eradication by dig and dump strategy: details to be stated.,m2/m3,6,Ground remediation,,,Low,,
0.1.3.2,0.1.3,0.1,Eradication by chemical treatment: details to be stated.,nr/m2,6,Ground remediation,,,Low,,
0.2.1.1,0.2.1,0.2,Demolition of entire buildings: details to be stated.,m2,3,Demolitions,1,,High,demolition,
0.2.1.2,0.2.1,0.2,Demolition of major parts of existing buildings: details to be stated.,m2,3,Demolitions,1,,High,demolition,
0.2.1.3,0.2.1,0.2,"Temporary propping to existing basement retaining walls: details, including type of material, whether single or double props, type of anchor blocks/foundations, to be stated.",nr,14,Masonry,1,,Medium,wall,
0.2.1.4,0.2.1,0.2,"Extra over temporary propping for providing wailings: details, including type of material, to be stated.",m,3,Demolitions,1,,High,demolition,
0.2.1.5,0.2.1,0.2,Periodic technical inspections of temporary propping: details to be stated.,nr,3,Demolitions,1,,High,demolition,
0.2.1.6,0.2.1,0.2,"Returning to site to reposition temporary props: details, including type of material, whether single or double props, type of anchor blocks/foundations (if new required), to be stated.",nr,3,Demolitions,1,,High,demolition,
0.2.1.7,0.2.1,0.2,Removal of temporary props: details to be stated.,nr,3,Demolitions,1,,High,demolition,
0.2.1.8,0.2.1,0.2,Removal of wailings: details to be stated.,m,3,Demolitions,1,,High,demolition,
0.2.1.9,0.2.1,0.2,"Grubbing up of anchor blocks/foundations to temporary props and infilling voids: details, including type of filling material, size of void to be stated.",nr,5,Excavating and filling,"11, 12",,Medium,filling,
0.2.2.1,0.2.2,0.2,Preparatory to demolition: extent of works to be stated.,item/m2,3,Demolitions,1,,High,demolition,
0.2.2.2,0.2.2,0.2,Preparatory to refurbishment: extent of works to be stated.,item/m2,3,Demolitions,1,,High,demolition,
0.3.1.1,0.3.1,0.3,Support structures: details to be stated.,nr,3,Demolitions,2,,High,temporary support,
0.3.1.2,0.3.1,0.3,Taking down and repositioning support structures: details to be stated.,nr,3,Demolitions,2,,High,temporary support,
0.3.1.3,0.3.1,0.3,Periodic technical inspections of temporary support structures: details to be stated.,nr,3,Demolitions,2,,High,temporary support,
0.3.1.4,0.3.1,0.3,Removing support structures: details to be stated.,nr,4,"Alterations, repairs and conservation",2,,Medium,removing,
0.4.1.1,0.4.1,0.4,Site dewatering: details to be stated.,item/m2,38,Mechanical services,13,,Medium,pump,
0.4.2.1,0.4.2,0.4,Soil stabilisation measures: details to be stated.,m2,5,Excavating and filling,,WS6:; WS7:,Low,,
