Change Type,Table,Record ID,Key/Name,Field,Before,After,Status
Category Remap,quantity_heuristics,055fcadb-6164-4909-ace8-32cfe18200bf,ARCHETYPE_9BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,10c9b23f-6633-4819-a72c-272ff095b33c,ARCHETYPE_8BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,1b21087f-26a4-4d33-83be-ec5930061871,EXTRA_OVER_UNSTABLE,category,EXCAVATION,SUBSTRUCTURE,VERIFIED
Category Remap,quantity_heuristics,1d29992b-c950-43b8-b947-553ddd07e867,ARCHETYPE_8BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,2e4e9e8e-87f5-44f1-b341-27059d9858da,ARCHETYPE_5BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,361b067a-75fc-45d5-98d0-94b5a22b9020,ARCHETYPE_4BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,3e26af0a-d2f5-4a52-8350-2f3f1388ad1f,ARCHETYPE_10BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,490a1b9b-6ccb-4377-9229-b5bf9e4bdbc7,ARCHETYPE_6BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,49747c60-bba2-4e11-98e2-306954f0b607,ARCHETYPE_7BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,4b32e2dd-f939-44de-8770-577bade30098,ARCHETYPE_5BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,4fbdbf74-b882-430b-ab2a-ffcbc47f2adc,EXCAVATION_DEPTH_VERY_DEEP,category,EXCAVATION,SUBSTRUCTURE,VERIFIED
Category Remap,quantity_heuristics,53481fcd-a89f-4eae-99f4-214bddb86365,ARCHETYPE_3BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,5e23d0dc-8d31-49bc-80aa-0e99b4ededc7,VOID_DEDUCTION_FORMWORK,category,VOIDS,GEOMETRY,VERIFIED
Category Remap,quantity_heuristics,68b693d5-e5a3-45f0-adcf-efcd9867bb78,EXCAVATION_DEPTH_SHALLOW,category,EXCAVATION,SUBSTRUCTURE,VERIFIED
Category Remap,quantity_heuristics,6b165081-df8e-4642-875b-5d440c2c3f47,EXCAVATION_DEPTH_DEEP,category,EXCAVATION,SUBSTRUCTURE,VERIFIED
Category Remap,quantity_heuristics,75777162-3c65-4db5-a60c-7b7ca67e71d1,ARCHETYPE_6BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,8946f7ea-027f-4e3b-82fc-ead3be0b6cd7,DRAINAGE_DEPTH_CLASSIFICATION,category,EXCAVATION,SUBSTRUCTURE,VERIFIED
Category Remap,quantity_heuristics,8cf1af5a-19c3-4c71-b49f-4c1367b6f4c5,EXTRA_OVER_GROUNDWATER,category,EXCAVATION,SUBSTRUCTURE,VERIFIED
Category Remap,quantity_heuristics,90327547-bf30-4421-8c80-b90f04a608cc,ARCHETYPE_1BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,9be3291e-ebc9-463b-9b0c-d2ec7b6c10c2,ARCHETYPE_4BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,ab8c2939-542a-43d4-92ec-6092a7043adc,VOID_DEDUCTION_FINISHES,category,VOIDS,GEOMETRY,VERIFIED
Category Remap,quantity_heuristics,adb3b6ca-c1a3-4d52-80fc-c2246b477034,ARCHETYPE_1BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,b38345db-050a-4b37-9f56-b6f3c7d16e77,EXTRA_OVER_ROCK,category,EXCAVATION,SUBSTRUCTURE,VERIFIED
Category Remap,quantity_heuristics,b70b01e6-3cd7-471c-822b-b125749d5452,VOID_DEDUCTION_CONCRETE,category,VOIDS,GEOMETRY,VERIFIED
Category Remap,quantity_heuristics,c7271f44-7c87-4352-9a16-01d5f404a47b,VOID_DEDUCTION_MASONRY,category,VOIDS,GEOMETRY,VERIFIED
Category Remap,quantity_heuristics,c8b03e60-7c75-4464-86bb-a600ea323d16,ARCHETYPE_2BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,d86da761-e1c8-4554-bfd9-6d7fc6f9111a,ARCHETYPE_7BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,df4cc73d-e5bc-459c-8fde-1e070bb5b993,ARCHETYPE_2BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,e69cb21f-d728-4bb8-81b0-2ba6827ba878,ARCHETYPE_10BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,ec51fafd-8f36-4f79-8876-fd2ee6c3ab03,EXCAVATION_DEPTH_MEDIUM,category,EXCAVATION,SUBSTRUCTURE,VERIFIED
Category Remap,quantity_heuristics,fa1537d7-7198-40b1-805e-69ebc4c4a708,ARCHETYPE_9BR_PREMIUM,category,ARCHETYPE,INPUTS,VERIFIED
Category Remap,quantity_heuristics,fd907bb4-343a-4366-8010-b4fe77381fc0,ARCHETYPE_3BR_STANDARD,category,ARCHETYPE,INPUTS,VERIFIED
Record Deletion,labour_productivity_constants,004e4337-bd7b-47f8-aa55-009606802578,N/A (activity: default),entire_record,EXISTS,DELETED,VERIFIED
Record Deletion,labour_productivity_constants,02c9473a-18df-42ce-a5d2-f5a4cccc7f85,N/A (activity: default),entire_record,EXISTS,DELETED,VERIFIED
Record Deletion,labour_productivity_constants,07c8a4c7-78bb-446a-b548-763b90185377,N/A (activity: default),entire_record,EXISTS,DELETED,VERIFIED
Record Deletion,labour_productivity_constants,0b2c8ace-a141-4b65-b0c4-67ba185b054e,N/A (activity: default),entire_record,EXISTS,DELETED,VERIFIED
Record Deletion,labour_productivity_constants,0b82185f-839d-409c-9a99-5418465203de,N/A (activity: default),entire_record,EXISTS,DELETED,VERIFIED
Record Deletion,labour_productivity_constants,0c2d49d8-90dc-4afa-9e3c-08254202b0da,N/A (activity: default),entire_record,EXISTS,DELETED,VERIFIED
Record Deletion,labour_productivity_constants,0e8b4bc4-a35f-475b-a44b-23eefd9cf9bf,N/A (activity: default),entire_record,EXISTS,DELETED,VERIFIED
Record Deletion,labour_productivity_constants,1415d8da-c246-4a55-af92-ef88057c783a,N/A (activity: default),entire_record,EXISTS,DELETED,VERIFIED
