id,key,category,expression,unit,source_type,enforce_level,reference
e69cb21f-d728-4bb8-81b0-2ba6827ba878,ARCHETYPE_10BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
3e26af0a-d2f5-4a52-8350-2f3f1388ad1f,ARCHETYPE_10BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
90327547-bf30-4421-8c80-b90f04a608cc,ARCHETYPE_1BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
adb3b6ca-c1a3-4d52-80fc-c2246b477034,ARCHETYPE_1BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
df4cc73d-e5bc-459c-8fde-1e070bb5b993,ARCHETYPE_2BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
c8b03e60-7c75-4464-86bb-a600ea323d16,ARCHETYPE_2BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
53481fcd-a89f-4eae-99f4-214bddb86365,ARCHETYPE_3BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
fd907bb4-343a-4366-8010-b4fe77381fc0,ARCHETYPE_3BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
9be3291e-ebc9-463b-9b0c-d2ec7b6c10c2,ARCHETYPE_4BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
361b067a-75fc-45d5-98d0-94b5a22b9020,ARCHETYPE_4BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
2e4e9e8e-87f5-44f1-b341-27059d9858da,ARCHETYPE_5BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
4b32e2dd-f939-44de-8770-577bade30098,ARCHETYPE_5BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
490a1b9b-6ccb-4377-9229-b5bf9e4bdbc7,ARCHETYPE_6BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
75777162-3c65-4db5-a60c-7b7ca67e71d1,ARCHETYPE_6BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
d86da761-e1c8-4554-bfd9-6d7fc6f9111a,ARCHETYPE_7BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
49747c60-bba2-4e11-98e2-306954f0b607,ARCHETYPE_7BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
10c9b23f-6633-4819-a72c-272ff095b33c,ARCHETYPE_8BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
1d29992b-c950-43b8-b947-553ddd07e867,ARCHETYPE_8BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
fa1537d7-7198-40b1-805e-69ebc4c4a708,ARCHETYPE_9BR_PREMIUM,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
055fcadb-6164-4909-ace8-32cfe18200bf,ARCHETYPE_9BR_STANDARD,INPUTS,LOOKUP,no,HEURISTIC,DEFAULT_ONLY,
